No,Region,PIN,State,Address,Latitude,Longitude,Type,Power,Service
80,NKDA,700156,West Bengal,Garden,22.5833562,88.4593418,AC-001,10(3.3 kW each),Self Service
81,NKDA,700160,West Bengal,Hospital,22.5770971,88.4796319,DC-001,15 kW,Self Service
82,NKDA,700160,West Bengal,Hospital,22.5770971,88.4796319,AC-001,10(3.3 kW each),Self Service
83,NKDA,700156,West Bengal,Mall,22.5796534,88.459843,DC-001,15 kW,Self Service
84,NKDA,700156,West Bengal,Mall,22.5796534,88.459843,AC-001,10(3.3 kW each),Self Service
85,Noida Authority,201301,Uttar Pradesh,Mall,28.5721498,77.3375462,DC-001,15 kW,Self Service
86,Noida Authority,201301,Uttar Pradesh,Office,28.5821195,77.3266991,DC-001,15 kW,Self Service
87,Noida Authority,201301,Uttar Pradesh,Office,28.6265817,77.3752161,DC-001,15 kW,Self Service
88,Noida Authority,201313,Uttar Pradesh,Office,28.5481935,77.3221938,DC-001,15 kW,Self Service
89,Noida Authority,201301,Uttar Pradesh,Hospital,28.5727977,77.340531,DC-001,15 kW,Self Service
90,Noida Authority,201305,Uttar Pradesh,Sector,28.6265817,77.3752161,DC-001,15 kW,Self Service
91,NDMC,110001,New Delhi,Office,28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
92,NDMC,110001,New Delhi,Office,28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
93,NDMC,110003,New Delhi,Garden,28.5907109,77.2242844,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
94,NDMC,110003,New Delhi,Garden,28.5907109,77.2242844,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
95,NDMC,110001,New Delhi,Office,28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
96,NDMC,110001,New Delhi,Office,28.617783,77.2129959,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
97,NDMC,110023,New Delhi,Parking,28.5772318,77.1972385,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
98,Noida Authority,201301,Uttar Pradesh,Office,28.6021486,77.3627249,DC-001,15 kW,Self Service
99,Noida Authority,201301,Uttar Pradesh,Parking,28.6075627,77.3683319,DC-001,15 kW,Self Service
100,Noida Authority,201301,Uttar Pradesh,Office,28.611892,77.3762261,DC-001,15 kW,Self Service
101,Noida Authority,201301,Uttar Pradesh,Office,28.6127633,77.3871319,DC-001,15 kW,Self Service
102,SDMC,110048,New Delhi,Market,28.5730519,77.1735339,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
103,SDMC,110048,New Delhi,Market,28.5730519,77.1735339,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
104,SDMC,110017,New Delhi,Mall,28.5576621,77.1576843,DC-001,15 kW,Self Service
105,SDMC,110017,New Delhi,Mall,28.5576621,77.1576843,DC-001,15 kW,Self Service
106,SDMC,110016,New Delhi,Parking,28.5533997,77.1941654,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
107,SDMC,110016,New Delhi,Parking,28.5533997,77.1941654,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
108,SDMC,110017,New Delhi,Parking,28.5836863,77.0801998,DC-001,15 kW,Self Service
109,SDMC,110017,New Delhi,Parking,28.5836863,77.0801998,DC-001,15 kW,Self Service
110,SDMC,110017,New Delhi,Parking,28.571886,77.242384,DC-001,15 kW,Self Service
111,SDMC,110017,New Delhi,Parking,28.6428915,77.2190894,DC-001,15 kW,Self Service
112,SDMC,110017,New Delhi,Market,28.5860181,77.2279415,DC-001,15 kW,Self Service
113,SDMC,110017,New Delhi,Parking,28.534966,77.291393,DC-001,15 kW,Self Service
114,SDMC,110017,New Delhi,Parking,28.5488714,77.2541062,DC-001,15 kW,Self Service
115,NRANVP,492101,Chattisgarh,Office,21.1642265,81.7886588,DC-001,15 kW,Self Service
116,NRANVP,492101,Chattisgarh,Sector,21.1700582,81.7714469,DC-001,15 kW,Self Service
117,Noida Authority,201301,Uttar Pradesh,Hospital,28.6067511,77.3597194,DC-001,15 kW,Self Service
118,Noida Authority,201301,Uttar Pradesh,Sector,28.5773143,77.3609538,DC-001,15 kW,Self Service
119,Noida Authority,201301,Uttar Pradesh,Parking,28.5951643,77.328135,DC-001,15 kW,Self Service
120,Noida Authority,201301,Uttar Pradesh,Sector,28.5846875,77.3159296,DC-001,15 kW,Self Service
121,Noida Authority,201301,Uttar Pradesh,Market,28.6265817,77.3752161,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
122,Noida Authority,201301,Uttar Pradesh,Market,28.6265817,77.3752161,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
123,Noida Authority,201301,Uttar Pradesh,Metro Station,28.627941,77.37493,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
124,Noida Authority,201301,Uttar Pradesh,Metro Station,28.627941,77.37493,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
125,Noida Authority,201301,Uttar Pradesh,Hospital,28.5727977,77.340531,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
126,Noida Authority,201301,Uttar Pradesh,Hospital,28.5727977,77.340531,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
127,Noida Authority,201301,Uttar Pradesh,Office,28.5821195,77.3266991,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
128,Noida Authority,201301,Uttar Pradesh,Office,28.5821195,77.3266991,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
129,Noida Authority,201313,Uttar Pradesh,Office,28.5481935,77.3221938,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
130,Noida Authority,201313,Uttar Pradesh,Office,28.5481935,77.3221938,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
131,Noida Authority,201305,Uttar Pradesh,Sector,28.4999533,77.4142541,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
132,Noida Authority,201305,Uttar Pradesh,Sector,28.4999533,77.4142541,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
133,Noida Authority,201305,Uttar Pradesh,Mall,28.5971,77.3649,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
134,Noida Authority,201305,Uttar Pradesh,Mall,28.5971,77.3649,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
135,Noida Authority,201305,Uttar Pradesh,Market,28.5719972,77.3693678,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
136,Noida Authority,201305,Uttar Pradesh,Market,28.5290983,77.4033806,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
137,Noida Authority,201301,Uttar Pradesh,Mall,28.5721498,77.3375462,AC-001,10(3.3 kW each),Self Service
138,Noida Authority,201301,Uttar Pradesh,Mall,28.5721498,77.3375462,AC-001,10(3.3 kW each),Self Service
139,Noida Authority,201301,Uttar Pradesh,Hospital,28.5727977,77.340531,AC-001,10(3.3 kW each),Self Service
140,Noida Authority,201301,Uttar Pradesh,Hospital,28.5727977,77.340531,AC-001,10(3.3 kW each),Self Service
141,Noida Authority,201305,Uttar Pradesh,Market,28.5719972,77.3693678,AC-001,10(3.3 kW each),Self Service
142,Noida Authority,201305,Uttar Pradesh,Market,28.5719972,77.3693678,AC-001,10(3.3 kW each),Self Service
143,Noida Authority,201301,Uttar Pradesh,Sector,28.6265817,77.3752161,AC-001,10(3.3 kW each),Self Service
144,SDMC,110016,New Delhi,Office,28.5471702,77.2002745,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
145,NDMC,110023,New Delhi,Parking,28.5772318,77.1972385,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
146,NDMC,110003,New Delhi,Hotel,28.602443,77.217889,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
147,Noida Authority,201305,Uttar Pradesh,Mall,28.5971,77.3649,DC-001,15 kW,Self Service
148,Noida Authority,201305,Uttar Pradesh,Market,28.5290983,77.4033806,DC-001,15 kW,Self Service
149,CMRL,600008,Tamil Nadu,Metro Station,13.0730518,80.1938063,DC-001,15 kW,Self Service
150,CMRL,600016,Tamil Nadu,Metro Station,13.0042155,80.2015482,DC-001,15 kW,Self Service
151,SDMC,110048,New Delhi,Market,28.5730519,77.1735339,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
152,SDMC,110048,New Delhi,Market,28.55664,77.2321386,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
153,SDMC,110048,New Delhi,Market,28.55664,77.2321386,DC-001,15 kW,Self Service
154,SDMC,110016,New Delhi,Parking,28.5730519,77.1735339,DC-001,15 kW,Self Service
155,SDMC,110016,New Delhi,Parking,28.553693,77.19925,DC-001,15 kW,Self Service
156,NDMC,110003,New Delhi,Parking,28.602443,77.217889,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
157,Noida Authority,201301,Uttar Pradesh,Bank,28.5875036,77.31269,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
158,Noida Authority,201301,Uttar Pradesh,Bank,28.5355161,77.3910265,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
159,Noida Authority,201301,Uttar Pradesh,Sector,28.5355161,77.3910265,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
160,Noida Authority,201301,Uttar Pradesh,Sector,28.5355161,77.3910265,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
161,Noida Authority,201301,Uttar Pradesh,Sector,28.5355161,77.3910265,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
162,Noida Authority,201301,Uttar Pradesh,Sector,28.5355161,77.3910265,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
163,Noida Authority,201301,Uttar Pradesh,Sector,28.5925506,77.3183746,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
164,Noida Authority,201301,Uttar Pradesh,Sector,28.5925506,77.3183746,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
165,Noida Authority,201301,Uttar Pradesh,Mall,28.5862141,77.3411026,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
166,Noida Authority,201301,Uttar Pradesh,Mall,28.5862141,77.3411026,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
167,Noida Authority,201301,Uttar Pradesh,Metro Station,28.5773799,77.3144936,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
168,Noida Authority,201301,Uttar Pradesh,Metro Station,28.5773799,77.3144936,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
169,ANERT,605007,Kerela,Office,8.5083388,76.9472347,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
170,NRANVP,682031,Kerela,Office,9.9769209,76.2777812,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
171,NRANVP,605014,Kerela,Office,8.491622,76.9562469,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
172,CMRL,600040,Tamil Nadu,Metro Station,12.9918445,80.1418013,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
173,CMRL,600040,Tamil Nadu,Metro Station,12.9918445,80.1418013,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
174,ANERT,682031,Kerela,Office,9.9769209,76.2777812,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
175,NDMC,110001,New Delhi,Office,28.6245157,77.2135555,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
176,NDMC,110001,New Delhi,Office,28.6245157,77.2135555,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
177,NDMC,110001,New Delhi,Office,28.6268691,77.231853,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
178,NDMC,110001,New Delhi,Office,28.6304482,77.2255578,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
179,NDMC,110001,New Delhi,Office,28.6304482,77.2255578,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
180,NDMC,110004,New Delhi,Office,28.6252943,77.1952344,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
181,NDMC,110004,New Delhi,Garden,28.6248358,77.1952435,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
182,SDMC,110016,New Delhi,Office,28.5471702,77.2002745,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
183,SDMC,110057,New Delhi,Mall,28.4974825,77.0829777,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
184,SDMC,110003,New Delhi,Market,28.5881111,77.2175556,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
185,SDMC,110003,New Delhi,Market,28.5881111,77.2175556,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
186,SDMC,110021,New Delhi,Market,28.5743032,77.1765548,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
187,SDMC,110021,New Delhi,Market,28.5743032,77.1765548,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
188,CMRL,600015,Tamil Nadu,Metro Station,13.0237197,80.2282092,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
189,CMRL,600015,Tamil Nadu,Metro Station,13.0237197,80.2282092,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
190,CMRL,600040,Tamil Nadu,Metro Station,12.9918445,80.1418013,DC-001,15 kW,Self Service
191,CMRL,600015,Tamil Nadu,Metro Station,13.0237197,80.2282092,DC-001,15 kW,Self Service
192,NDMC,110001,New Delhi,Office,28.6212385,77.2183048,DC-001,15 kW,Self Service
193,NDMC,110004,New Delhi,Staduim,28.6252943,77.1952344,DC-001,15 kW,Self Service
194,NKDA,700156,West Bengal,Park,22.5833562,88.4593418,AC-001,10(3.3 kW each),Self Service
195,NKDA,700135,West Bengal,Mall,22.5691795,88.5090643,AC-001,10(3.3 kW each),Self Service
196,NKDA,700156,West Bengal,Mall,22.5833562,88.4593418,DC-001,15 kW,Self Service
197,NKDA,700135,West Bengal,Mall,22.5691795,88.5090643,DC-001,15 kW,Self Service
198,ANERT,695014,Kerela,Office,8.491622,76.9562469,CCS/ChADEMO/ Type 2 AC,142kW,Self Service
199,ANERT,605007,Kerela,Beach,8.4810515,76.9126218,DC-001,15 kW,Self Service
200,ANERT,682031,Kerela,Office,9.9769209,76.2777812,DC-001,15 kW,Self Service
201,ANERT,695014,Kerela,Office,8.491622,76.9562469,DC-001,15 kW,Self Service
202,SDMC,110016,New Delhi,Mall,28.5576621,77.1576843,DC-001,15 kW,Self Service
